NC1	NC2	NC3	NC4	NC5
SRR1169626	0	0.0270104360822233	0.0174227047387178	3.24324946515589	0.0372335304433397
SRR1169627	0.257622389542573	0	0	2.86918330147419	0
SRR1169628	1.10985573335998	0	0.0371729398866359	0.82474654878965	0
SRR1169629	0.999471123663761	0.0554232648227545	0.0637989139822248	0.142539207236038	0.264105407756608
SRR1169630	1.11576913387734	0.0401090662073911	0	0.0427412530463186	0.136291689748317
SRR1169631	0.640257999515059	0.0490843483085923	0	0	0.592080309426318
SRR1169632	0.558222271114974	0	0	0	0.629970352896867
SRR1169633	0.348891705736912	0	0	0.184824312979914	0.803471866724101
SRR1169634	0.0868617016726814	0	0.160657485289122	0.327439912984429	1.0254709633249
SRR1169635	0.0847627101886199	0.233109215091111	0.150415658587284	0	0.931660377443612
SRR1169636	0.0640454956237158	0	0.0525548102611139	0.301122357185613	1.0296215076619
SRR1169637	0.171011722861411	0.378055315920231	0.0638859715877788	0.18732293952235	0.728763089469832
SRR1169639	0.147265106207589	0.633158432665043	0.131444512746474	0.146191932836607	0.609230547034849
SRR1169640	0.093288018777223	0.421131689542387	0	0.154700781071331	0.834444100013938
SRR1169641	0	1.25745755969584	0	0.148634527243215	0.440882376728752
SRR1169642	0.130558346843301	1.73569032991017	0.256714158764073	0	0.00800049979800109
SRR1169643	0.165005626952794	1.213408838891	0.349910964989012	0	0.260982869685179
SRR1169644	0.0175532117834597	1.42769705879157	1.40376844745503	0.0911362667654603	0
SRR1169645	0	1.27625843373599	1.80567318337712	0.270033483602238	0
SRR1169646	0.0403578124368691	0.750703068245384	2.82630330714476	0	0
SRR1169647	0	0	4.18541772841409	0.039361938415368	0
