# Table used for listing simple BIOM display servers
#<name>	<id>	<version>
Aegilops tauschii genes (Aet v4.0)	atauschii_eg_gene	Aet v4.0
Triticum aestivum genes (IWGSC)	taestivum_eg_gene	IWGSC
Medicago truncatula genes (MedtrA17_4.0)	mtruncatula_eg_gene	MedtrA17_4.0
Actinidia chinensis genes (Red5_PS1_1.69.0)	achinensis_eg_gene	Red5_PS1_1.69.0
Panicum hallii HAL2 genes (PhalliiHAL_v2.1)	phhal2_eg_gene	PhalliiHAL_v2.1
Phaseolus vulgaris genes (PhaVulg1_0)	pvulgaris_eg_gene	PhaVulg1_0
Oryza sativa Indica Group genes (ASM465v1)	oindica_eg_gene	ASM465v1
Leersia perrieri genes (Lperr_V1.4)	lperrieri_eg_gene	Lperr_V1.4
Brassica rapa genes (Brapa_1.0)	brapa_eg_gene	Brapa_1.0
Cucumis melo genes (Melonv4)	cmelo_eg_gene	Melonv4
Prunus persica genes (Prunus_persica_NCBIv2)	ppersica_eg_gene	Prunus_persica_NCBIv2
Oryza glumipatula genes (Oryza_glumaepatula_v1.5)	oglumipatula_eg_gene	Oryza_glumaepatula_v1.5
Prunus dulcis genes (ALMONDv2)	pdulcis_eg_gene	ALMONDv2
Trifolium pratense genes (Trpr)	tpratense_eg_gene	Trpr
Triticum turgidum genes (svevo)	tturgidum_eg_gene	svevo
Solanum tuberosum genes (SolTub_3.0)	stuberosum_eg_gene	SolTub_3.0
Amborella trichopoda genes (AMTR1.0)	atrichopoda_eg_gene	AMTR1.0
Hordeum vulgare genes (IBSC v2)	hvulgare_eg_gene	IBSC v2
Eragrostis curvula genes (CERZOS_E.curvula1.0)	ecurvula_eg_gene	CERZOS_E.curvula1.0
Oryza glaberrima genes (Oryza_glaberrima_V1)	oglaberrima_eg_gene	Oryza_glaberrima_V1
Oryza brachyantha genes (Oryza_brachyantha.v1.4b)	obrachyantha_eg_gene	Oryza_brachyantha.v1.4b
Cyanidioschyzon merolae genes (ASM9120v1)	cmerolae_eg_gene	ASM9120v1
Brassica oleracea genes (BOL)	boleracea_eg_gene	BOL
Solanum lycopersicum genes (SL3.0)	slycopersicum_eg_gene	SL3.0
Zea mays genes (B73 RefGen_v4)	zmays_eg_gene	B73 RefGen_v4
Vigna radiata genes (Vradiata_ver6)	vradiata_eg_gene	Vradiata_ver6
Theobroma cacao Matina 1-6 genes (Theobroma_cacao_20110822)	tcmatina_eg_gene	Theobroma_cacao_20110822
Oryza meridionalis genes (Oryza_meridionalis_v1.3)	omeridionalis_eg_gene	Oryza_meridionalis_v1.3
Vigna angularis genes (Vigan1.1)	vangularis_eg_gene	Vigan1.1
Camelina sativa genes (Cs)	csativa_eg_gene	Cs
Daucus carota genes (ASM162521v1)	dcarota_eg_gene	ASM162521v1
Manihot esculenta genes (Manihot esculenta v6)	mesculenta_eg_gene	Manihot esculenta v6
Capsicum annuum genes (ASM51225v2)	cannuum_eg_gene	ASM51225v2
Triticum aestivum Robigus genes (TGAC_robigus)	tarobigus_eg_gene	TGAC_robigus
Marchantia polymorpha genes (Marchanta_polymorpha_v1)	mpolymorpha_eg_gene	Marchanta_polymorpha_v1
Gossypium raimondii genes (Graimondii2_0)	graimondii_eg_gene	Graimondii2_0
Arabis alpina genes (A_alpina_V4)	aalpina_eg_gene	A_alpina_V4
Vitis vinifera genes (12X)	vvinifera_eg_gene	12X
Dioscorea rotundata genes (TDr96_F1_Pseudo_Chromosome_v1.0)	drotundata_eg_gene	TDr96_F1_Pseudo_Chromosome_v1.0
Physcomitrella patens genes (Phypa V3)	ppatens_eg_gene	Phypa V3
Glycine max genes (Glycine_max_v2.1)	gmax_eg_gene	Glycine_max_v2.1
Corchorus capsularis genes (CCACVL1_1.0)	ccapsularis_eg_gene	CCACVL1_1.0
Helianthus annuus genes (HanXRQr1.0)	hannuus_eg_gene	HanXRQr1.0
Ananas comosus genes (F153)	acomosus_eg_gene	F153
Arabidopsis lyrata genes (v.1.0)	alyrata_eg_gene	v.1.0
Oryza nivara genes (Oryza_nivara_v1.0)	onivara_eg_gene	Oryza_nivara_v1.0
Triticum aestivum Weebill genes (EI_WeebilV1)	taweebil_eg_gene	EI_WeebilV1
Eragrostis tef genes (ASM97063v1)	etef_eg_gene	ASM97063v1
Lupinus angustifolius genes (LupAngTanjil_v1.0)	langustifolius_eg_gene	LupAngTanjil_v1.0
Nicotiana attenuata genes (NIATTr2)	nattenuata_eg_gene	NIATTr2
Oryza punctata genes (Oryza_punctata_v1.2)	opunctata_eg_gene	Oryza_punctata_v1.2
Chara braunii genes (Cbr_1.0)	cbraunii_eg_gene	Cbr_1.0
Cynara cardunculus genes (CcrdV1)	ccardunculus_eg_gene	CcrdV1
Selaginella moellendorffii genes (v1.0)	smoellendorffii_eg_gene	v1.0
Panicum hallii FIL2 genes (PHallii_v3.1)	phfil2_eg_gene	PHallii_v3.1
Triticum aestivum Claire genes (TGAC_paragon)	taclaire_eg_gene	TGAC_paragon
Brassica napus genes (AST_PRJEB5043_v1)	bnapus_eg_gene	AST_PRJEB5043_v1
Cucumis sativus genes (ASM407v2)	csativus_eg_gene	ASM407v2
Sorghum bicolor genes (Sorghum_bicolor_NCBIv3)	sbicolor_eg_gene	Sorghum_bicolor_NCBIv3
Oryza rufipogon genes (OR_W1943)	orufipogon_eg_gene	OR_W1943
